ID,experimentClass,trialNumber,completionDateTime,startDateTime,startDateNb,startSecsNb,nbPumps,isCollected,isExploded,lastTrialTime,order,trialOrder
S1_1004,BalloonInflate,20,17735.65288380787,17735.65284962963,17735,56406.208,12,0,1,NA,2,40
S1_1004,BodyInflate,1,17735.65311667824,17735.65303883102,17735,56422.555,22,1,0,2.38,3,41
S1_1004,BodyInflate,2,17735.65319634259,17735.65313332176,17735,56430.719,23,1,0,1.377,3,42
S1_1004,BodyInflate,3,17735.653242673612,17735.653210810186,17735,56437.414,12,1,0,1.054,3,43
S1_1004,BodyInflate,4,17735.653321527778,17735.65325488426,17735,56441.222,23,1,0,1.258,3,44
S1_1004,BodyInflate,5,17735.653399386574,17735.653336064814,17735,56448.236,25,1,0,1.142,3,45
S1_1004,BodyInflate,6,17735.653495706018,17735.653425775465,17735,56455.987,28,1,0,1.196,3,46
S1_1004,BodyInflate,7,17735.65360708333,17735.65352834491,17735,56464.849,33,1,0,0.867,3,47
S1_1004,BodyInflate,8,17735.653655578702,17735.65362707176,17735,56473.379,8,1,0,1.247,3,48
S1_1004,BodyInflate,9,17735.653691932872,17735.65366420139,17735,56476.587,7,1,0,1.369,3,49
S1_1004,BodyInflate,10,17735.65373087963,17735.653702511576,17735,56479.897,10,1,0,0.94,3,50
S1_1004,BodyInflate,11,17735.65378439815,17735.65374221065,17735,56483.327,17,1,0,0.863,3,51
S1_1004,BodyInflate,12,17735.653856469908,17735.65379556713,17735,56487.937,20,1,0,1.23,3,52
S1_1004,BodyInflate,13,17735.653944340276,17735.653917106483,17735,56498.438,10,1,0,0.976,3,53
S1_1004,BodyInflate,14,17735.654000416667,17735.65395601852,17735,56501.8,12,1,0,1.882,3,54
S1_1004,BodyInflate,15,17735.65401431713,17735.654009837963,17735,56506.45,3,0,1,NA,3,55
S1_1004,BodyInflate,16,17735.65405326389,17735.65404607639,17735,56509.581,5,0,1,NA,3,56
S1_1004,BodyInflate,17,17735.654111863427,17735.654082002315,17735,56512.685,5,1,0,1.216,3,57
S1_1004,BodyInflate,18,17735.654174849537,17735.654126157406,17735,56516.5,12,1,0,2.038,3,58
S1_1004,BodyInflate,19,17735.654228252315,17735.654189675926,17735,56521.988,12,1,0,1.096,3,59
S1_1004,BodyInflate,20,17735.654275347224,17735.654243078705,17735,56526.602,10,1,0,1.07,3,60
S1_1004,BalloonDeflate,1,17735.65440142361,17735.65436601852,17735,56537.224,13,1,0,1.245,4,61
S1_1004,BalloonDeflate,2,17735.65443775463,17735.654414930556,17735,56541.45,13,0,1,NA,4,62
S1_1004,BalloonDeflate,3,17735.65447144676,17735.654471261572,17735,56546.317,1,0,1,NA,4,63
S1_1004,BalloonDeflate,4,17735.654518055555,17735.654502974536,17735,56549.057,2,1,0,0.993,4,64
S1_1004,BalloonDeflate,5,17735.654545625,17735.654529375,17735,56551.338,2,1,0,1.22,4,65
S1_1004,BalloonDeflate,6,17735.654585590277,17735.654558391205,17735,56553.845,9,1,0,1.075,4,66
S1_1004,BalloonDeflate,7,17735.654623541668,17735.654596342592,17735,56557.124,8,1,0,1.016,4,67
S1_1004,BalloonDeflate,8,17735.654672002314,17735.654631377314,17735,56560.151,15,1,0,1.217,4,68
S1_1004,BalloonDeflate,9,17735.65473008102,17735.654686354166,17735,56564.901,16,1,0,1.221,4,69
S1_1004,BalloonDeflate,10,17735.654757002314,17735.654744189815,17735,56569.898,7,0,1,NA,4,70
S1_1004,BalloonDeflate,11,17735.654787858795,17735.654784733797,17735,56573.401,2,0,1,NA,4,71
S1_1004,BalloonDeflate,12,17735.654855393517,17735.65481738426,17735,56576.222,5,1,0,1.311,4,72
S1_1004,BalloonDeflate,13,17735.654900439815,17735.654867939815,17735,56580.59,10,1,0,1.335,4,73
