ID,order,TotalMLE,mle,pBurst_1,pExpl_1,sdAvgLastTime_1,avgLastTime_1
S2_608,1,124.4641,55.6561,0.017107,0.042553,0.654933,1.826455
S2_608,2,124.4641,68.808,0.019746,0.032432,0.465727,1.900286
S2_609,1,133.122,68.9595,0.013416,0.022222,0.543326,1.426385
S2_609,2,133.122,64.1625,0.019345,0.029787,0.330835,1.190846
S2_610,1,128.4404,56.9581,0.074419,0.111111,0.987549,2.690688
S2_610,2,128.4404,71.4823,0.03071,0.044444,0.608459,1.8375
S2_611,1,54.1187,46.2916,0.008307,0.023438,1.408219,2.951875
S2_611,2,54.1187,7.8271,0.001083,0.0223,NA,2.639
S2_612,1,114.1411,60.6733,0.017167,0.035242,0.479918,2.024417
S2_612,2,114.1411,53.4678,0.020833,0.039604,0.46497,1.761455
S2_613,1,101.6673,55.7933,0.016897,0.026882,2.428357,2.476909
S2_613,2,101.6673,45.874,0.016484,0.031915,1.256489,2.301222
S2_614,1,93.4466,39.4285,0.009682,0.020057,0.654206,1.833286
S2_614,2,93.4466,54.0181,0.029703,0.043011,0.316129,1.11625
S2_616,1,130.0219,70.2472,0.017834,0.027523,0.513567,1.950071
S2_616,2,130.0219,59.7747,0.01849,0.043956,0.255509,1.837833
